 val,Flawlesss,Good,Poor,Category,Product model,Weight lb,Year,Space,Network,Color,Generation,Screen Size,Retina Display ,Memory,Hard Disk,Processor
iPhone 4 AT&T 32GB Black,136.4,123.2,52.8,iPhone,iPhone 4,1,,32GB,AT&T,Black,,,,,,
iPhone 4 AT&T 16GB White,145.2,114.4,44,iPhone,iPhone 4,1,,16GB,AT&T,White,,,,,,
iPhone 4 AT&T 16GB Black,140.8,105.6,35.2,iPhone,iPhone 4,1,,16GB,AT&T,Black,,,,,,
iPhone 4 AT&T 8GB White,132,96.8,30.8,iPhone,iPhone 4,1,,8GB,AT&T,White,,,,,,
iPhone 4 AT&T 8GB Black,132,92.4,30.8,iPhone,iPhone 4,1,,8GB,AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
iPhone 4 Verizon 32GB White,88,83.6,44,iPhone,iPhone 4,1,,32GB,Verizon,White,,,,,,
iPhone 4 Verizon 32GB Black,83.6,79.2,44,iPhone,iPhone 4,1,,32GB,Verizon,Black,,,,,,
iPhone 4 Verizon 16GB White,74.8,70.4,44,iPhone,iPhone 4,1,,16GB,Verizon,White,,,,,,
iPhone 4 Verizon 16GB Black,70.4,66,44,iPhone,iPhone 4,1,,16GB,Verizon,Black,,,,,,
iPhone 4 Verizon 8GB White,66,61.6,44,iPhone,iPhone 4,1,,8GB,Verizon,White,,,,,,
iPhone 4 Verizon 8GB Black,61.6,57.2,44,iPhone,iPhone 4,1,,8GB,Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,
Mini - 4G LTE Verizon 64GB White,325.6,281.6,140.8,iPad,Mini,1,,64GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 64GB Black,325.6,281.6,140.8,iPad,Mini,1,,64GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE Verizon 32GB White,250.8,228.8,114.4,iPad,Mini,1,,32GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 32GB Black,250.8,228.8,114.4,iPad,Mini,1,,32GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE Verizon 16GB White,396,369.6,176,iPad,Mini,1,,16GB,4G LTE - Verizon,White,,,,,,
Mini - 4G LTE Verizon 16GB Black,211.2,193.6,96.8,iPad,Mini,1,,16GB,4G LTE - Verizon,Black,,,,,,
Mini - 4G LTE - Sprint - 64GB White,325.6,281.6,96.8,iPad,Mini,1,,64GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 64GB Black,325.6,281.6,193.6,iPad,Mini,1,,64GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 32GB White,250.8,228.8,176,iPad,Mini,1,,32GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 32GB Black,250.8,228.8,158.4,iPad,Mini,1,,32GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE - Sprint - 16GB White,396,369.6,176,iPad,Mini,1,,16GB,4G LTE - Sprint,White,,,,,,
Mini - 4G LTE - Sprint - 16GB Black,211.2,193.6,149.6,iPad,Mini,1,,16GB,4G LTE - Sprint,Black,,,,,,
Mini - 4G LTE AT&T 64GB White,325.6,281.6,176,iPad,Mini,1,,64GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 64GB Black,325.6,281.6,158.4,iPad,Mini,1,,64GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 32GB White,250.8,228.8,176,iPad,Mini,1,,32GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 32GB Black,250.8,228.8,158.4,iPad,Mini,1,,32GB,4G LTE - AT&T,Black,,,,,,
Mini - 4G LTE AT&T 16GB White,220,202.4,176,iPad,Mini,1,,16GB,4G LTE - AT&T,White,,,,,,
Mini - 4G LTE AT&T 16GB Black,220,202.4,176,iPad,Mini,1,,16GB,4G LTE - AT&T,Black,,,,,,
Mini WiFi Only 64GB White,255.2,228.8,114.4,iPad,Mini,1,,64GB,WiFi Only,White,,,,,,
Mini WiFi Only 64GB Black,255.2,228.8,114.4,iPad,Mini,1,,64GB,WiFi Only,Black,,,,,,
Mini WiFi Only 32GB White,220,325.6,132,iPad,Mini,1,,32GB,WiFi Only,White,,,,,,
Mini WiFi Only 32GB Black,334.4,299.2,105.6,iPad,Mini,1,,32GB,WiFi Only,Black,,,,,,
Mini WiFi Only 16GB White,176,158.4,79.2,iPad,Mini,1,,16GB,WiFi Only,White,,,,,,
Mini WiFi Only 16GB Black,176,158.4,79.2,iPad,Mini,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 4 - 4G LTE Verizon 64GB White,396,369.6,176,iPad,iPad 4,1,,64GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 64GB Black,396,369.6,176,iPad,iPad 4,1,,64GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 32GB White,352,334.4,158.4,iPad,iPad 4,1,,32GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 32GB Black,352,334.4,158.4,iPad,iPad 4,1,,32GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE Verizon 16GB White,308,281.6,132,iPad,iPad 4,1,,16GB,4G LTE - Verizon,White,,,,,,
iPad 4 - 4G LTE Verizon 16GB Black,308,281.6,132,iPad,iPad 4,1,,16GB,4G LTE - Verizon,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB White,396,369.6,176,iPad,iPad 4,1,,64GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 64GB Black,396,369.6,176,iPad,iPad 4,1,,64GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB White,352,334.4,158.4,iPad,iPad 4,1,,32GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 32GB Black,352,334.4,158.4,iPad,iPad 4,1,,32GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB White,308,281.6,132,iPad,iPad 4,1,,16GB,4G LTE - Sprint,White,,,,,,
iPad 4 - 4G LTE - Sprint - 16GB Black,308,281.6,132,iPad,iPad 4,1,,16GB,4G LTE - Sprint,Black,,,,,,
iPad 4 - 4G LTE AT&T 64GB White,396,369.6,176,iPad,iPad 4,1,,64GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 64GB Black,396,369.6,176,iPad,iPad 4,1,,64GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 32GB White,352,334.4,158.4,iPad,iPad 4,1,,32GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 32GB Black,352,334.4,158.4,iPad,iPad 4,1,,32GB,4G LTE - AT&T,Black,,,,,,
iPad 4 - 4G LTE AT&T 16GB White,308,281.6,132,iPad,iPad 4,1,,16GB,4G LTE - AT&T,White,,,,,,
iPad 4 - 4G LTE AT&T 16GB Black,308,281.6,132,iPad,iPad 4,1,,16GB,4G LTE - AT&T,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 4 WiFi Only 64GB White,352,308,154,iPad,iPad 4,1,,64GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 64GB Black,352,308,154,iPad,iPad 4,1,,64GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 32GB White,308,286,132,iPad,iPad 4,1,,32GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 32GB Black,308,286,132,iPad,iPad 4,1,,32GB,WiFi Only,Black,,,,,,
iPad 4 WiFi Only 16GB White,264,242,110,iPad,iPad 4,1,,16GB,WiFi Only,White,,,,,,
iPad 4 WiFi Only 16GB Black,264,242,110,iPad,iPad 4,1,,16GB,WiFi Only,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 3 - 4G LTE Verizon 64GB White,308,264,132,iPad,iPad 3,1,,64GB,4G LTE - Verizon,White,,,,,,
iPad 3 - 4G LTE Verizon 64GB Black,308,264,132,iPad,iPad 3,1,,64GB,4G LTE - Verizon,Black,,,,,,
iPad 3 - 4G LTE Verizon 32GB White,264,242,110,iPad,iPad 3,1,,32GB,4G LTE - Verizon,White,,,,,,
iPad 3 - 4G LTE Verizon 32GB Black,264,242,110,iPad,iPad 3,1,,32GB,4G LTE - Verizon,Black,,,,,,
iPad 3 - 4G LTE Verizon 16GB White,220,193.6,88,iPad,iPad 3,1,,16GB,4G LTE - Verizon,White,,,,,,
iPad 3 - 4G LTE Verizon 16GB Black,220,193.6,88,iPad,iPad 3,1,,16GB,4G LTE - Verizon,Black,,,,,,
,,,,,,,,,,,,,,,,
iPad 3 - 4G LTE AT&T 64GB White,308,264,132,iPad,iPad 3,1,,64GB,4G LTE - AT&T,White,,,,,,
iPad 3 - 4G LTE AT&T 64GB Black,308,264,132,iPad,iPad 3,1,,64GB,4G LTE - AT&T,Black,,,,,,
